id,attachable_id,attachable_type,upload_file_name,upload_content_type,upload_file_size,upload_updated_at,type
1,1,Feat,familyreunion.png,image/png,16545,2011/11/3 2:07,Image
2,6,Feat,strengthtraining.png,image/png,5581,2011/11/2 14:20,Image
3,14,Feat,crosstraining.png,image/png,4663,2011/11/2 14:21,Image
4,20,Feat,yoga.png,image/png,6459,2011/11/2 14:22,Image
5,21,Feat,earlytobed.png,image/png,10771,2011/11/2 14:23,Image
6,43,Feat,healthscreening.png,image/png,6659,2011/11/2 14:24,Image
7,45,Feat,sunlight.png,image/png,8864,2011/11/2 14:24,Image
8,46,Feat,getyourvitamins.png,image/png,7263,2011/11/2 14:24,Image
9,49,Feat,hiking.png,image/png,5316,2011/11/2 14:25,Image
10,50,Feat,running.png,image/png,34736,2011/11/2 14:25,Image
11,51,Feat,swimming.png,image/png,3916,2011/11/2 14:27,Image
12,77,Feat,meditate.png,image/png,7061,2011/11/2 14:30,Image
13,83,Feat,martialarts.png,image/png,15406,2011/11/2 14:31,Image
14,93,Feat,bikeride.png,image/png,5967,2011/11/2 14:32,Image
15,100,Feat,hydrate.png,image/png,11892,2011/11/2 14:33,Image
16,107,Feat,birthcontrol.png,image/png,12025,2011/11/2 14:35,Image
17,110,Feat,takethestairs.png,image/png,4490,2011/11/2 14:37,Image
18,113,Feat,train4event.png,image/png,5096,2011/11/2 14:37,Image
19,115,Feat,newworkout.png,image/png,7164,2011/11/2 14:38,Image
20,128,Feat,quitsmoking.png,image/png,6483,2011/11/2 14:38,Image
21,5,Feat,packalunch.png,image/png,4794,2011/11/2 14:40,Image
22,12,Feat,cook.png,image/png,15678,2011/11/2 14:41,Image
23,15,Feat,cutjunkfood.png,image/png,3734,2011/11/2 14:41,Image
24,16,Feat,cutsodium.png,image/png,5841,2011/11/2 14:42,Image
25,24,Feat,greentea.png,image/png,6349,2011/11/2 14:43,Image
26,25,Feat,orangejuice.png,image/png,15188,2011/11/2 14:44,Image
27,27,Feat,completebreakfast.png,image/png,16279,2011/11/2 14:45,Image
28,28,Feat,leafygreens.png,image/png,2458,2011/11/2 14:46,Image
29,29,Feat,fruitandveggies.png,image/png,5057,2011/11/2 14:47,Image
30,31,Feat,leafygreens.png,image/png,2458,2011/11/2 14:47,Image
31,32,Feat,leanmeat.png,image/png,6186,2011/11/2 14:48,Image
32,34,Feat,cutfat.png,image/png,3383,2011/11/2 14:54,Image
33,35,Feat,cutsugar.png,image/png,6150,2011/11/2 14:50,Image
34,37,Feat,eatnatural.png,image/png,5220,2011/11/2 14:50,Image
35,54,Feat,healthysnack.png,image/png,7109,2011/11/2 14:51,Image
36,67,Feat,foodjournal.png,image/png,4322,2011/11/2 14:52,Image
37,130,Feat,workstanding.png,image/png,5329,2011/11/2 14:52,Image
38,96,Feat,skipsoda.png,image/png,5208,2011/11/2 14:53,Image
39,114,Feat,trynewfood.png,image/png,9770,2011/11/2 14:55,Image
40,123,Feat,healthyrecipe.png,image/png,6280,2011/11/2 14:56,Image
41,17,Feat,spendingcuts.png,image/png,6508,2011/11/2 14:57,Image
42,22,Feat,styleonabudget.png,image/png,6617,2011/11/2 14:57,Image
43,41,Feat,fixityourself.png,image/png,9592,2011/11/2 14:57,Image
44,64,Feat,insulation.png,image/png,5612,2011/11/2 14:59,Image
45,75,Feat,salarycheck.png,image/png,4367,2011/11/2 15:01,Image
46,79,Feat,debtpayment.png,image/png,4322,2011/11/2 15:02,Image
47,92,Feat,thinkb4buying.png,image/png,4889,2011/11/2 15:03,Image
48,94,Feat,save1percent.png,image/png,5355,2011/11/2 15:03,Image
49,95,Feat,savemoney.png,image/png,15291,2011/11/2 15:04,Image
50,101,Feat,budget.png,image/png,7885,2011/11/2 15:05,Image
51,119,Feat,publictransit.png,image/png,8165,2011/11/2 15:06,Image
52,121,Feat,coupons.png,image/png,10708,2011/11/2 15:07,Image
53,122,Feat,fuelefficient.png,image/png,3389,2011/11/2 15:08,Image
54,7,Feat,buyinbulk.png,image/png,3432,2011/11/2 15:08,Image
55,9,Feat,cleanbathroom.png,image/png,5641,2011/11/2 15:08,Image
56,11,Feat,cleanfloors.png,image/png,4231,2011/11/2 15:09,Image
57,19,Feat,workforgood.png,image/png,6470,2011/11/2 15:09,Image
58,26,Feat,dust.png,image/png,4029,2011/11/2 15:10,Image
59,33,Feat,leftovers.png,image/png,3827,2011/11/2 15:11,Image
60,38,Feat,yourpotential.png,image/png,7849,2011/11/2 15:11,Image
61,47,Feat,helpoutatwork.png,image/png,5604,2011/11/3 2:16,Image
62,61,Feat,personalbest.png,image/png,6939,2011/11/2 15:13,Image
63,72,Feat,lookforajob.png,image/png,8404,2011/11/2 15:13,Image
64,73,Feat,survivemonday.png,image/png,5358,2011/11/2 15:13,Image
65,76,Feat,makethebed.png,image/png,14809,2011/11/2 15:14,Image
66,80,Feat,planahead.png,image/png,1974,2011/11/2 15:15,Image
67,81,Feat,planmenus.png,image/png,10446,2011/11/2 15:15,Image
68,84,Feat,prioritize.png,image/png,7199,2011/11/2 15:16,Image
69,118,Feat,lightsoff.png,image/png,6087,2011/11/2 15:16,Image
70,2,Feat,theatre.png,image/png,5830,2011/11/2 15:17,Image
71,18,Feat,findnewmusic.png,image/png,7005,2011/11/2 15:17,Image
72,52,Feat,gotoclass.png,image/png,5838,2011/11/2 15:18,Image
73,66,Feat,yourphilosophy.png,image/png,9559,2011/11/2 15:19,Image
74,69,Feat,earthscience.png,image/png,7606,2011/11/2 15:20,Image
75,70,Feat,familystory.png,image/png,6621,2011/11/2 15:20,Image
76,71,Feat,newskills.png,image/png,11079,2011/11/2 15:21,Image
77,78,Feat,studygroup.png,image/png,3560,2011/11/2 15:21,Image
78,82,Feat,playmusic.png,image/png,18142,2011/11/2 15:22,Image
79,85,Feat,studentjustice.png,image/png,7778,2011/11/2 15:22,Image
80,86,Feat,readapoem.png,image/png,4744,2011/11/2 15:23,Image
81,87,Feat,readanarticle.png,image/png,7443,2011/11/2 15:24,Image
82,88,Feat,dailyreading.png,image/png,3384,2011/11/2 15:24,Image
83,89,Feat,readthenews.png,image/png,34033,2011/11/2 15:25,Image
84,97,Feat,getinspired.png,image/png,17467,2011/11/2 15:26,Image
85,103,Feat,secondlanguage.png,image/png,5070,2011/11/2 15:27,Image
86,131,Feat,writing.png,image/png,5825,2011/11/2 15:28,Image
87,125,Feat,library.png,image/png,8813,2011/11/2 15:28,Image
88,124,Feat,artgallery.png,image/png,6710,2011/11/2 15:29,Image
89,116,Feat,trysomethingnew.png,image/png,3645,2011/11/2 15:30,Image
90,109,Feat,photography.png,image/png,6404,2011/11/2 15:31,Image
91,106,Feat,challenging.png,image/png,22406,2011/11/2 15:31,Image
92,36,Feat,buylocal.png,image/png,7856,2011/11/2 15:33,Image
93,62,Feat,hugsomeone.png,image/png,3419,2011/11/2 15:34,Image
94,4,Feat,beyourself.png,image/png,6651,2011/11/3 1:59,Image
95,39,Feat,getfrisky.png,image/png,5027,2011/11/3 1:59,Image
96,40,Feat,iloveyou.png,image/png,8075,2011/11/3 2:00,Image
97,42,Feat,sleepwell.png,image/png,2725,2011/11/3 2:01,Image
98,59,Feat,hope.png,image/png,13721,2011/11/3 2:01,Image
99,60,Feat,perspective.png,image/png,8537,2011/11/3 2:02,Image
100,63,Feat,unplug.png,image/png,4779,2011/11/3 2:02,Image
101,91,Feat,destress.png,image/png,12184,2011/11/3 2:03,Image
102,99,Feat,keepyourcool.png,image/png,5262,2011/11/3 2:03,Image
103,105,Feat,takeabreak.png,image/png,7091,2011/11/3 2:04,Image
104,108,Feat,vacation.png,image/png,8249,2011/11/3 2:05,Image
105,111,Feat,thetalk.png,image/png,4179,2011/11/3 2:05,Image
106,129,Feat,workout.png,image/png,4509,2011/11/3 2:06,Image
107,8,Feat,callparents.png,image/png,8090,2011/11/3 2:06,Image
108,30,Feat,eattogether.png,image/png,8089,2011/11/3 2:07,Image
109,13,Feat,cooktogether.png,image/png,4573,2011/11/3 2:07,Image
110,44,Feat,activetogether.png,image/png,10702,2011/11/3 2:08,Image
111,48,Feat,camping.png,image/png,6491,2011/11/3 2:08,Image
112,53,Feat,datenight.png,image/png,4122,2011/11/3 2:08,Image
113,55,Feat,picnic.png,image/png,6901,2011/11/3 2:09,Image
114,56,Feat,familydinner.png,image/png,8315,2011/11/3 2:10,Image
115,57,Feat,familyfun.png,image/png,9387,2011/11/3 2:09,Image
116,58,Feat,grandparents.png,image/png,7129,2011/11/3 2:10,Image
117,68,Feat,petsafety.png,image/png,3814,2011/11/3 2:10,Image
118,74,Feat,makemomsmile.png,image/png,10807,2011/11/3 2:11,Image
119,90,Feat,readwithakid.png,image/png,7027,2011/11/3 2:11,Image
120,98,Feat,beachday.png,image/png,6151,2011/11/3 2:11,Image
121,112,Feat,teachyourkids.png,image/png,5581,2011/11/3 2:12,Image
122,117,Feat,tuckinyourkid.png,image/png,7444,2011/11/3 2:12,Image
123,120,Feat,carseat.png,image/png,4559,2011/11/3 2:12,Image
124,126,Feat,zoo.png,image/png,8494,2011/11/3 2:13,Image
125,127,Feat,walkthedog.png,image/png,6694,2011/11/3 2:13,Image
126,102,Feat,stretch.png,image/png,9423,2011/11/3 2:14,Image
127,23,Feat,fairtradecoffee.png,image/png,5612,2011/11/3 2:15,Image
128,10,Feat,cleanup.png,image/png,5803,2011/11/3 2:15,Image
129,104,Feat,research.png,image/png,6122,2011/11/3 2:17,Image
130,65,Feat,invention.png,image/png,6973,2011/11/3 2:17,Image
131,3,Feat,gratitude.png,image/png,5934,2011/11/3 2:19,Image
132,133,Feat,integrity.png,image/png,7102,2011/11/3 2:21,Image
133,135,Feat,befair.png,image/png,3704,2011/11/3 2:23,Image
134,136,Feat,newfriends.png,image/png,2659,2011/11/3 2:23,Image
135,137,Feat,donation.png,image/png,8795,2011/11/3 2:24,Image
136,138,Feat,bekind.png,image/png,15568,2011/11/3 2:26,Image
137,139,Feat,giveblood.png,image/png,3118,2011/11/3 2:27,Image
138,140,Feat,sharealaugh.png,image/png,7406,2011/11/3 2:27,Image
139,141,Feat,service.png,image/png,6462,2011/11/3 2:28,Image
